Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
80,42,21,5.47336,15.6961,-10.2227,401.755,276.592,125.163,346,26358,-26012
81,42,21,6.72909,19.3841,-12.6551,506.469,366.325,140.144,779,25135,-24356
82,42,21,5.50552,17.3348,-11.8293,503.784,324.685,179.099,328,24744,-24416
83,42,21,4.17348,5.68353,-1.51005,286.856,129.718,157.139,519,25754,-25235
84,42,21,6.22041,16.6121,-10.3917,511.02,352.692,158.328,376,23161,-22785
85,42,21,6.59992,14.5546,-7.9547,457.512,305.138,152.374,323,22398,-22075
86,42,21,6.79328,15.9323,-9.13904,471.257,318.189,153.068,323,23310,-22987
87,42,21,7.364,20.2242,-12.8602,427.242,336.538,90.7041,690,22777,-22087
88,42,21,6.63042,21.7223,-15.0919,430.985,378.019,52.9662,402,22915,-22513
89,42,21,5.3121,17.3889,-12.0768,440.616,367.523,73.0936,351,22736,-22385
90,42,21,7.9328,16.1994,-8.2666,445.11,304.612,140.498,334,22657,-22323
91,42,21,6.34057,12.7789,-6.43833,445.915,283.078,162.838,323,22895,-22572
92,42,21,4.47273,7.90579,-3.43306,288.533,157.706,130.827,326,23160,-22834
93,42,21,5.84917,20.4147,-14.5656,480.198,386.729,93.4697,323,23741,-23418
94,42,21,5.00316,11.9243,-6.92109,410.339,234.469,175.87,324,22942,-22618
95,42,21,6.31424,13.5425,-7.22822,512.329,301.944,210.384,324,22681,-22357
96,42,21,9.21242,10.7767,-1.56428,506.529,265.51,241.019,324,22656,-22332
97,42,21,6.60131,16.438,-9.8367,510.935,341.209,169.726,359,22952,-22593
98,42,21,5.81477,11.6432,-5.82843,347.188,199.454,147.735,332,23248,-22916
99,42,21,5.79325,19.1588,-13.3655,493.918,405.322,88.5964,324,23231,-22907
100,42,21,5.86259,15.625,-9.76237,525.128,331.494,193.634,353,22431,-22078
101,42,21,4.91707,18.4203,-13.5032,388.918,336.962,51.9564,324,23963,-23639
102,42,21,6.3932,10.2698,-3.87664,383.347,199.766,183.581,324,22636,-22312
103,42,21,10.3332,18.1099,-7.77677,512.914,411.639,101.275,324,23010,-22686
104,42,21,4.92197,13.8925,-8.97057,337.036,234.303,102.733,460,22525,-22065
105,42,21,6.30686,15.9611,-9.65419,399.722,299.023,100.699,323,23058,-22735
106,42,21,8.42668,16.5068,-8.08011,542.044,394.628,147.416,326,23226,-22900
107,42,21,6.67341,14.3302,-7.65684,506.739,305.916,200.822,590,23461,-22871
108,42,21,7.58337,17.5806,-9.99726,579.849,391.449,188.4,323,23271,-22948
109,42,21,4.61639,12.4557,-7.83929,350.152,224.251,125.901,324,24023,-23699
110,42,21,6.27313,11.9326,-5.65945,422.409,268.394,154.015,323,22196,-21873
111,42,21,7.66402,13.0112,-5.34722,507.76,298.077,209.683,323,22865,-22542
112,42,21,6.04054,16.8067,-10.7661,429.403,319.712,109.691,430,22981,-22551
113,42,21,4.74023,6.26921,-1.52898,319.664,154.226,165.438,323,22762,-22439
114,42,21,5.93224,13.4981,-7.56591,435.706,270.716,164.99,325,22105,-21780
115,42,21,8.05134,13.6375,-5.58614,488.905,322.28,166.626,324,22759,-22435
116,42,21,5.53679,13.5218,-7.98503,408.996,231.354,177.642,324,23819,-23495
117,42,21,6.27063,20.9951,-14.7245,455.887,392.63,63.2574,325,22403,-22078
118,42,21,5.14243,14.5352,-9.39273,361.596,251.728,109.868,323,23186,-22863
119,42,21,6.19976,6.17365,0.0261174,331.946,130.312,201.634,333,23510,-23177
120,42,21,6.36564,18.6812,-12.3155,520.655,392.599,128.056,323,22933,-22610
121,42,21,5.87587,13.2299,-7.35406,481.115,302.224,178.891,323,22864,-22541
122,42,21,5.60905,12.4431,-6.83408,438.565,288.93,149.635,326,22808,-22482
123,42,21,6.69158,13.2512,-6.55958,420.776,260.12,160.655,355,22637,-22282
124,42,21,5.76622,12.1613,-6.39511,425.063,277.377,147.686,323,23040,-22717
