frame,apcaDur,paaDur,difDue
289,18096,292,-17804
290,18944,292,-18652
291,19394,294,-19100
292,19244,427,-18817
293,19186,411,-18775
294,18617,292,-18325
295,18646,292,-18354
296,20642,468,-20174
297,21678,315,-21363
298,19565,313,-19252
299,18839,329,-18510
300,19409,300,-19109
301,20471,301,-20170
302,18723,311,-18412
303,18454,309,-18145
304,18974,309,-18665
305,18748,310,-18438
306,19189,309,-18880
307,20794,321,-20473
308,18826,317,-18509
309,18764,310,-18454
310,19890,509,-19381
311,19857,310,-19547
312,20482,308,-20174
313,18445,308,-18137
314,18947,308,-18639
315,18731,311,-18420
316,18463,302,-18161
317,18439,308,-18131
318,18601,300,-18301
319,19279,313,-18966
320,19619,320,-19299
321,19219,301,-18918
322,18515,465,-18050
323,19250,300,-18950
324,19519,302,-19217
325,18870,314,-18556
326,20192,310,-19882
327,18702,301,-18401
328,18537,302,-18235
329,19052,293,-18759
330,19483,293,-19190
331,19076,293,-18783
332,17963,307,-17656
333,18102,293,-17809
334,18320,293,-18027
335,17933,294,-17639
336,18853,293,-18560
337,19322,324,-18998
338,19442,302,-19140
339,18594,358,-18236
340,18419,345,-18074
341,18373,358,-18015
342,18245,313,-17932
343,18846,292,-18554
344,18010,292,-17718
345,17903,292,-17611
346,18272,350,-17922
347,19886,312,-19574
348,20152,331,-19821
349,18725,301,-18424
350,18146,301,-17845
351,18755,300,-18455
352,18772,293,-18479
353,19792,375,-19417
354,19154,371,-18783
355,18480,293,-18187
356,18115,313,-17802
357,19949,356,-19593
358,18884,326,-18558
359,19856,310,-19546
360,18842,314,-18528
361,18667,343,-18324
362,18577,313,-18264
363,18474,303,-18171
364,19358,313,-19045
365,19072,312,-18760
366,20211,397,-19814
367,18695,311,-18384
368,19962,309,-19653
369,19276,293,-18983
370,18979,303,-18676
371,18613,306,-18307
372,19574,292,-19282
373,18157,294,-17863
374,18546,395,-18151
375,19343,518,-18825
376,18852,293,-18559
377,18706,293,-18413
378,19239,292,-18947
379,18629,293,-18336
380,18749,292,-18457
381,18430,301,-18129
382,18756,293,-18463
383,19552,292,-19260
384,18721,301,-18420
385,19273,362,-18911
386,19416,307,-19109
387,18867,300,-18567
388,18113,387,-17726
389,18919,315,-18604
390,28147,294,-27853
391,20022,312,-19710
392,19388,464,-18924
393,23344,339,-23005
394,19784,878,-18906
395,19306,300,-19006
396,18905,292,-18613
397,18854,302,-18552
398,20332,300,-20032
399,19773,312,-19461
