vector,PAA Frames,APCA Frames,PAA Eu,APCAA Eu,Dif Eu,PAA Dtw,APCA Dtw,Dif Dtw,PAA tik,APCA tik,Dif tik
135,80,40,139.408,302.032,-162.624,4087.37,9353.24,-5265.87,600,62435,-61835
136,80,40,134.401,313.163,-178.762,3973.95,10586.1,-6612.12,598,65472,-64874
137,80,40,172.022,312.588,-140.566,4908.23,10083.9,-5175.68,632,64336,-63704
138,80,40,153.3,286.82,-133.521,4511.28,9756.77,-5245.49,635,62759,-62124
139,80,40,154.508,304.626,-150.118,4451.11,10082.3,-5631.2,633,63302,-62669
140,80,40,182.946,290.681,-107.735,5331.41,9344.51,-4013.09,744,63305,-62561
141,80,40,176.618,305.743,-129.125,5198.68,10183.6,-4984.93,615,63691,-63076
142,80,40,170.631,308.427,-137.796,5056.81,9819.7,-4762.89,778,63670,-62892
143,80,40,205.664,297.55,-91.8856,5392.76,9552.52,-4159.76,642,61444,-60802
144,80,40,159.765,324.142,-164.377,4979.35,11539.2,-6559.8,598,63351,-62753
145,80,40,186.095,368.72,-182.624,5795.63,12249.4,-6453.8,638,62695,-62057
146,80,40,167.253,300.505,-133.252,5176.91,10488.9,-5311.98,602,62627,-62025
147,80,40,163.24,357.308,-194.069,5048.65,11682,-6633.33,656,62524,-61868
148,80,40,173.762,372.308,-198.545,5478.16,12951.2,-7473.08,665,64695,-64030
149,80,40,190.211,378.013,-187.801,6018.18,13343.7,-7325.5,616,62734,-62118
150,80,40,180.777,370.804,-190.027,5671.18,12868.7,-7197.54,622,63002,-62380
151,80,40,174.334,334.328,-159.994,5526.71,11759.1,-6232.4,600,62735,-62135
152,80,40,191.377,405.451,-214.074,5898.65,13689.3,-7790.66,626,62766,-62140
153,80,40,197.743,396.893,-199.15,5964.87,13322.3,-7357.4,619,64994,-64375
154,80,40,182.019,382.993,-200.975,5546.23,12324.7,-6778.47,620,63194,-62574
155,80,40,193.372,382.613,-189.241,5799.26,12310.7,-6511.46,623,62507,-61884
156,80,40,146.208,270.342,-124.134,4382.92,8965.98,-4583.07,600,63303,-62703
157,80,40,139.792,244.936,-105.144,4071.02,8238.17,-4167.15,601,62602,-62001
158,80,40,144.937,270.86,-125.924,4245.96,8931.14,-4685.18,598,64441,-63843
159,80,40,146.041,286.127,-140.086,4316.13,9855.56,-5539.43,598,62567,-61969
160,80,40,195.819,446.248,-250.429,6125.59,15490.5,-9364.93,601,66285,-65684
161,80,40,191.053,380.343,-189.29,5918.92,13630.3,-7711.39,617,62338,-61721
162,80,40,173.928,345.887,-171.958,5496.78,12168.6,-6671.84,598,63747,-63149
163,80,40,183.654,365.791,-182.137,5840.61,11953.2,-6112.6,601,62587,-61986
164,80,40,237.327,423.739,-186.412,7444.31,14552.7,-7108.39,595,65011,-64416
165,80,40,214.526,402.218,-187.692,6357.63,13702.1,-7344.45,615,61949,-61334
166,80,40,188.812,361.883,-173.071,5572.84,12279.4,-6706.52,599,63615,-63016
167,80,40,186.526,373.944,-187.418,5489,13239.4,-7750.39,601,62580,-61979
168,80,40,148.727,327.268,-178.541,4589.66,10750.2,-6160.56,631,64219,-63588
169,80,40,150.139,357.799,-207.659,4446.76,10816,-6369.19,619,63489,-62870
170,80,40,155.483,310.344,-154.86,4601.68,10101.7,-5499.99,598,62062,-61464
171,80,40,151.527,309.987,-158.46,4673.09,10494.1,-5821.04,598,63420,-62822
172,80,40,171.788,359.506,-187.717,5281.8,12103.2,-6821.4,618,63319,-62701
173,80,40,170.324,374.04,-203.717,5263.73,12705.7,-7441.99,598,62451,-61853
174,80,40,160.533,348.123,-187.591,4673.44,12144.8,-7471.4,598,63022,-62424
175,80,40,155.062,297.846,-142.784,4518.95,10112.1,-5593.14,771,63853,-63082
176,80,40,113.475,204.213,-90.7371,2986.23,6823.28,-3837.05,595,63667,-63072
177,80,40,110.906,230.917,-120.011,2974.72,7712.06,-4737.34,616,63470,-62854
178,80,40,112.557,229.575,-117.018,3453.98,7720.43,-4266.45,598,64987,-64389
179,80,40,110.482,293.392,-182.91,3363.89,9470.19,-6106.3,598,62933,-62335
180,80,40,168.233,397.135,-228.902,5337.73,13751.6,-8413.89,641,64446,-63805
181,80,40,176.507,408.675,-232.168,5586.34,13752.7,-8166.39,601,61824,-61223
182,80,40,226.838,439.589,-212.751,6590.83,15167.2,-8576.34,601,62569,-61968
183,80,40,173.364,403.558,-230.194,5325.17,13876.3,-8551.1,621,61640,-61019
184,80,40,146.216,327.053,-180.837,4333.05,11459.3,-7126.28,622,64502,-63880
185,80,40,140.247,330.047,-189.8,4173.28,11694.3,-7521.03,631,63929,-63298
186,80,40,141.643,303.852,-162.209,4237.49,10233.4,-5995.95,641,63084,-62443
187,80,40,141.795,277.309,-135.514,4160.44,9493.37,-5332.93,623,65265,-64642
188,80,40,159.14,319.672,-160.532,4939.66,11551.4,-6611.7,641,63653,-63012
189,80,40,158.557,328.639,-170.081,4833.73,11507.7,-6673.92,619,65599,-64980
190,80,40,155.848,318.667,-162.819,4715.72,11125.9,-6410.14,599,62763,-62164
191,80,40,159.986,298.036,-138.05,4755.73,10397,-5641.22,603,61812,-61209
192,80,40,177.926,359.96,-182.033,5124.12,12238.6,-7114.53,601,63710,-63109
193,80,40,171.462,380.459,-208.997,5007.69,12770.1,-7762.41,668,62682,-62014
194,80,40,176.557,368.641,-192.084,4990.76,11787,-6796.22,638,62847,-62209
195,80,40,182.31,370.19,-187.881,5071.83,12151.2,-7079.39,599,63617,-63018
196,80,40,177.421,334.569,-157.148,5380.62,10853.8,-5473.15,613,62739,-62126
197,80,40,186.277,316.802,-130.524,5824.75,11017,-5192.24,614,63972,-63358
198,80,40,178.393,338.472,-160.079,5483.59,11759.7,-6276.08,673,64391,-63718
199,80,40,178.889,315.304,-136.416,5323.36,10925,-5601.64,601,62707,-62106
200,80,40,186.986,350.39,-163.404,5640.01,11125.2,-5485.17,718,62274,-61556
201,80,40,162.837,338.017,-175.18,5081.02,11074.1,-5993.12,599,62605,-62006
202,80,40,143.381,363.741,-220.36,4309.44,11032.9,-6723.44,618,62665,-62047
203,80,40,145.955,338.8,-192.844,4393.66,10657.5,-6263.82,600,62865,-62265
204,80,40,151.988,333.823,-181.835,4581.79,11023.3,-6441.54,597,63082,-62485
205,80,40,153.268,310.38,-157.111,4521.18,10728.5,-6207.27,600,64577,-63977
206,80,40,160.511,350.203,-189.692,4834.66,11559.9,-6725.27,599,62891,-62292
207,80,40,163.775,320.366,-156.59,4940.41,10685.1,-5744.7,716,62127,-61411
208,80,40,149.53,298.956,-149.426,4651.44,10181.4,-5529.91,596,63513,-62917
209,80,40,155.527,323.528,-168.002,4834.13,10811,-5976.87,597,62178,-61581
210,80,40,40.5207,84.8556,-44.3349,1408.55,2828.64,-1420.09,639,61086,-60447
211,80,40,53.2891,93.0633,-39.7742,1721.14,3026.17,-1305.03,628,64234,-63606
212,80,40,282.128,489.306,-207.178,8724.02,16855.9,-8131.87,595,64131,-63536
213,80,40,300.128,544.447,-244.319,9133.29,18613.1,-9479.77,1146,63571,-62425
214,80,40,159.115,349.516,-190.401,4846.13,11228.6,-6382.5,620,62683,-62063
215,80,40,174.338,376.981,-202.643,5344.89,12030.3,-6685.44,599,62415,-61816
216,80,40,185.314,309.669,-124.355,5491.64,10783.6,-5291.96,607,62422,-61815
217,80,40,156.952,287.263,-130.311,4801.42,10214.3,-5412.84,943,61681,-60738
218,80,40,183.789,372.21,-188.421,5346.49,12900.2,-7553.66,596,63894,-63298
219,80,40,161.491,348.008,-186.517,4771.78,11658.7,-6886.94,597,63130,-62533
220,80,40,195.104,411.235,-216.131,6202.76,13180.5,-6977.72,1006,64654,-63648
221,80,40,203.283,388.354,-185.071,6418.11,12208.4,-5790.27,598,61954,-61356
222,80,40,166.467,326.36,-159.893,4823.91,10634.2,-5810.34,635,65390,-64755
223,80,40,173.126,315.144,-142.018,4934.18,10466.1,-5531.91,599,63668,-63069
224,80,40,222.693,500.879,-278.187,6843.77,15866.1,-9022.36,616,64137,-63521
225,80,40,213.726,489.979,-276.253,6604.55,16124.9,-9520.38,658,63386,-62728
226,80,40,185.444,456.334,-270.89,5488.26,12734.3,-7246.02,675,63118,-62443
227,80,40,171.988,386.142,-214.154,5070.37,11794.1,-6723.77,596,61604,-61008
228,80,40,254.176,529.183,-275.006,7306.47,16098.7,-8792.19,617,64355,-63738
229,80,40,193.185,437.457,-244.272,5667.81,13864.7,-8196.87,614,62011,-61397
230,80,40,185.058,398.051,-212.993,5780.19,13389.9,-7609.74,752,61006,-60254
231,80,40,179.367,347.854,-168.487,5700.4,11724.6,-6024.2,643,63364,-62721
232,80,40,159.359,340.699,-181.34,4820.56,12071.4,-7250.83,617,62585,-61968
233,80,40,147.097,344.931,-197.834,4540,11898,-7357.98,620,64403,-63783
234,80,40,183.077,329.171,-146.094,5890.74,11870.2,-5979.44,629,62748,-62119
235,80,40,182.848,314.376,-131.528,5924.64,10978.5,-5053.89,614,63188,-62574
236,80,40,160.52,293.061,-132.541,4805.6,10223.3,-5417.66,634,63605,-62971
237,80,40,149.278,271.271,-121.993,4512.23,9225.68,-4713.46,608,63055,-62447
238,80,40,188.494,470.355,-281.86,5469.2,14846.1,-9376.91,618,63823,-63205
239,80,40,172.071,406.904,-234.833,5181.96,12542.4,-7360.4,675,62361,-61686
240,80,40,165.445,352.314,-186.869,5042.24,11580.7,-6538.49,762,62986,-62224
241,80,40,158.641,325.026,-166.385,4877.14,10411.5,-5534.39,720,62863,-62143
242,80,40,129.416,275.234,-145.818,4396.21,9704.52,-5308.31,596,63702,-63106
243,80,40,130.449,276.316,-145.866,4539.84,10142.2,-5602.31,601,62785,-62184
244,80,40,178.38,393.478,-215.098,5276.82,14085.8,-8809.01,619,62763,-62144
245,80,40,188.476,404.997,-216.521,5675.69,13640.6,-7964.88,602,62223,-61621
246,80,40,177.242,355.673,-178.431,5305.36,11419.7,-6114.39,656,62181,-61525
