Vector,PAA Frames,APCA Frames,PAA Eu,APCA Eu,Eu Diff,PAA Dtw,APCA Dtw,Dtw Dif,PAA tik,APCA Tik,Tik Dif
69,20,10,21.9951,22.3634,-0.368363,400.083,407.586,-7.50332,222,9714,-9492
70,20,10,22.2336,22.3284,-0.0948661,418.596,423.094,-4.49836,185,10441,-10256
71,20,10,22.264,22.3161,-0.0520376,422.898,426.042,-3.14445,196,13045,-12849
72,20,10,22.1941,22.3045,-0.110445,393.797,398.476,-4.67839,175,9795,-9620
73,20,10,21.6422,22.4537,-0.811444,375.492,391.539,-16.0474,185,9120,-8935
74,20,10,21.5713,22.2649,-0.693536,374.615,390.16,-15.5442,174,9556,-9382
75,20,10,22.1702,22.1493,0.0208287,396.58,394.226,2.35429,200,10029,-9829
76,20,10,22.2702,22.1155,0.154692,399.81,397.228,2.58261,189,12778,-12589
77,20,10,21.8562,22.2536,-0.39747,397.892,396.947,0.944662,216,9655,-9439
78,20,10,22.228,22.28,-0.0519705,403.169,401.95,1.21877,208,10301,-10093
79,20,10,22.1128,22.2609,-0.148182,398.393,403.571,-5.17746,175,9943,-9768
80,20,10,21.6339,22.3182,-0.684309,381.96,405.64,-23.6803,186,12909,-12723
81,20,10,22.011,22.267,-0.255968,372.468,378.126,-5.65808,182,11568,-11386
82,20,10,22.2458,22.1257,0.120016,408.797,403.138,5.65887,175,9415,-9240
83,20,10,22.2186,22.2239,-0.00531371,396.432,393.785,2.64743,191,10541,-10350
84,20,10,22.0743,22.1433,-0.0690752,392.457,392.294,0.162949,179,9408,-9229
85,20,10,22.2206,22.2953,-0.0746255,422.552,425.404,-2.85133,199,10719,-10520
86,20,10,21.8576,22.3334,-0.475822,373.009,397.7,-24.6913,182,10707,-10525
87,20,10,22.164,22.4378,-0.273847,399.555,407.04,-7.48514,174,9823,-9649
88,20,10,22.0226,22.3044,-0.281759,404.491,414.749,-10.2581,175,10107,-9932
89,20,10,22.2514,22.328,-0.0765881,428.541,430.603,-2.06192,191,14428,-14237
90,20,10,22.062,22.3363,-0.274272,362.776,370.239,-7.46278,189,14188,-13999
91,20,10,22.0528,22.2581,-0.205295,398.829,405.269,-6.43905,175,10099,-9924
